julday,date_time,V_ugal,vert_mm,areal_mm,WDD_tam,potential,dilation_ppb,wl_ft
2456381.8958333335,3/30/2013 9:30,54.27159223411782,-91.82753406012733,-417.4570874648343,531.3836102661967,17284.820468170674,20.710072492376636,4429.01
2456381.9375,3/30/2013 10:30,20.67098037554773,-34.97529879542676,-159.00118104871314,197.51799692271024,6583.132554059865,7.88768127670372,4428.99
2456381.9791666665,3/30/2013 11:30,-19.347331324873448,32.73568460168587,148.81967255092655,-200.11577942247206,-6162.572329831548,-7.383780164932601,4428.98
2456382.0208333335,3/30/2013 12:30,-58.10136620573989,98.3075116201119,446.91570885455127,-585.1873275090361,-18505.60907134303,-22.172778606982124,4428.98
2456382.0625,3/30/2013 13:30,-88.08630316096833,149.0420249483584,677.5598439141684,-883.1265260498434,-28055.716038734383,-33.615385480796036,4428.98
2456382.1041666665,3/30/2013 14:30,-103.68142165966364,175.42896544815088,797.5174954061326,-1038.0842341013192,-33022.711635692416,-39.56666729931583,4428.99
2456382.1458333335,3/30/2013 15:30,-102.34332215646822,173.16490108874422,787.2248340275535,-1024.7884818325995,-32596.53120357711,-39.05603268981264,4429
2456382.1875,3/30/2013 16:30,-85.04276614974921,143.89236032537568,654.148957223871,-852.8850424940879,-27086.359189335075,-32.45393573096722,4429.01
2456382.2291666665,3/30/2013 17:30,-55.894343546810546,94.57322928120344,429.93929056206673,-563.2576978705068,-17802.679380221685,-21.33055263580747,4429.03
2456382.2708333335,3/30/2013 18:30,-21.109674002986853,35.717568413053755,162.37561243097488,-217.62693730335636,-6723.8728626394795,-8.056310991750957,4429.04
2456382.3125,3/30/2013 19:30,12.459709133336839,-21.08182785360593,-95.84008265362696,115.928378223215,3967.868802848117,4.7541629738583495,4429.06
2456382.3541666665,3/30/2013 20:30,38.85404198263528,-65.7410390346189,-298.86529093043055,378.19027281652876,12374.379792686252,14.826552818868572,4429.06
2456382.3958333335,3/30/2013 21:30,54.27616007327481,-91.83526284398097,-417.4922232836298,531.4289976665281,17286.2753104011,20.711815633868454,4429.07
2456382.4375,3/30/2013 22:30,57.82887031809049,-97.8464485782091,-444.8196704867521,566.7297770067871,18417.802213819206,22.06757191672129,4429.07
2456382.4791666665,3/30/2013 23:30,51.55836041582241,-87.23674582357152,-396.58690831850606,504.4241367610376,16420.66477123723,19.674671113990076,4429.06
2456382.5208333335,3/31/2013 0:30,39.78897148700198,-67.32293975600736,-306.05676867801924,387.480008780926,12672.151863609859,15.183332984495449,4429.07
2456382.5625,3/31/2013 1:30,27.894558052618414,-47.197592225030355,-214.56494054074082,269.2936003504317,8883.819048958643,10.644284023762857,4429.07
2456382.6041666665,3/31/2013 2:30,20.797006892894967,-35.188535662778285,-159.97057702014808,198.77023365842155,6623.271598647184,7.9357744874993115,4429.08
2456382.6458333335,3/31/2013 3:30,21.574701038136652,-36.50439415652721,-165.95260038534715,206.49763260840612,6870.964708226227,8.232551778889137,4429.08
2456382.6875,3/31/2013 4:30,30.563692658984184,-51.71376797900123,-235.09592393290635,295.81491092065403,9733.929924269802,11.66285738409837,4429.08
2456382.7291666665,3/31/2013 5:30,45.221712075665806,-76.51513683202654,-347.8454092860214,441.4613254428033,14402.462446730207,17.25653110047991,4429.09
2456382.7708333335,3/31/2013 6:30,60.81707297466867,-102.90248747313939,-467.8049253211515,596.4214420553999,19369.535247414547,23.207905421826368,4429.09
2456382.8125,3/31/2013 7:30,71.76002286407574,-121.41795868601614,-551.9780958704706,705.1538274057601,22854.82995184174,27.383864631321945,4429.07
2456382.8541666665,3/31/2013 8:30,73.1958906398149,-123.84744696256682,-563.0227908014563,719.4210341353613,23312.14926753062,27.931808770910873,4429.04
2456382.8958333335,3/31/2013 9:30,62.399794530318374,-105.58045234529868,-479.9792195272089,612.1478313590569,19873.62702451649,23.811890702137347,4429.02
2456382.9375,3/31/2013 10:30,39.580701827422835,-66.97054749199943,-304.45475845653647,385.4105798690684,12605.818640031204,15.103854817112087,4429.01
2456382.9791666665,3/31/2013 11:30,7.890846831867755,-13.351312839520242,-60.69639383072678,70.53081162584223,2512.7007041637094,3.0106310379946843,4429.01
2456383.0208333335,3/31/2013 12:30,-27.325386093954865,46.23455327097163,210.18686983470081,-279.3880902952255,-8703.557376763549,-10.42830030104837,4429
2456383.0625,3/31/2013 13:30,-59.80229312649288,101.18547997002594,459.9992387289832,-602.088240267409,-19047.348880940135,-22.821872453813423,4429.01
2456383.1041666665,3/31/2013 14:30,-83.78689340107529,141.76742363461938,644.4887840410711,-840.4063195683788,-26686.367716777502,-31.974679824307522,4429.01
2456383.1458333335,3/31/2013 15:30,-95.27517035422085,161.20558823934167,732.8566103646668,-954.5572358483006,-30345.347355033042,-36.358742296362166,4429.01
2456383.1875,3/31/2013 16:30,-92.77837982406223,156.9810186623133,713.6512976066867,-929.7483869722644,-29550.127519360623,-35.40593747554413,4429.01
2456383.2291666665,3/31/2013 17:30,-77.48898095815767,131.11135578120275,596.0452415301488,-777.828399577259,-24680.502652230796,-29.57132188770057,4429.01
2456383.2708333335,3/31/2013 18:30,-52.865150838152324,89.44783521815373,406.6387402470677,-533.1587435458449,-16837.891145524944,-20.174576841629403,4429.01
2456383.3125,3/31/2013 19:30,-23.77413460244401,40.22583574733527,182.87064336199933,-244.10180555907908,-7572.49508162929,-9.073100695723923,4429.05
2456383.3541666665,3/31/2013 20:30,4.5920380946950035,-7.769728456223945,-35.32195702439397,37.75287273071693,1462.0406226699697,1.7517665758905403,4429.06
2456383.3958333335,3/31/2013 21:30,27.793262830254434,-47.026200708790505,-213.78577769031713,268.2871010734047,8851.556843094875,10.605628567877215,4429.06
2456383.4375,3/31/2013 22:30,42.996885050607794,-72.75072950562839,-330.73203980927514,419.3547863586139,13693.862121674589,16.40751077244028,4429.07
2456383.4791666665,3/31/2013 23:30,49.450393746253994,-83.67006621866176,-380.3724286961857,483.47875671839455,15749.284097396463,18.870246080881298,4429.07
2456383.5208333335,4/1/2013 0:30,48.481640635576454,-82.03093595539536,-372.92077976885406,473.85293940184846,15440.73931553557,18.50055842671618,4429.06
2456383.5625,4/1/2013 1:30,43.02385381180501,-72.79636064957408,-330.93948352040417,419.6227559431001,13702.451586264628,16.417802370942365,4429.07
2456383.6041666665,4/1/2013 2:30,36.760233885173605,-62.19831573371374,-282.7597190447554,357.3855765322764,11707.508578989653,14.027530864470748,4429.06
2456383.6458333335,4/1/2013 3:30,33.078883524431106,-55.969470923337425,-254.44277206992408,320.80659096811695,10535.010208156653,12.622683990667191,4429.07
2456383.6875,4/1/2013 4:30,34.09800247650844,-57.69382019025228,-262.2818350493029,330.93285817531626,10859.596350170776,13.011591846090937,4429.07
2456383.7291666665,4/1/2013 5:30,40.031210683526666,-67.73280847652711,-307.9200725776871,389.8869690548628,12749.304276568402,15.275774329274638,4429.07
2456383.7708333335,4/1/2013 6:30,49.0909906194003,-83.0619561280253,-377.60789984442715,479.907620993556,15634.8153456031,18.733093593419117,4429.07
2456383.8125,4/1/2013 7:30,57.98097590044572,-98.10381122355416,-445.9896666262285,568.2411430426126,18466.24735759252,22.125617207421822,4429.06
2456383.8541666665,4/1/2013 8:30,62.84750827320949,-106.33798399827046,-483.4230336375274,616.5964474736032,20016.222426393288,23.982743566012175,4429.05
2456383.8958333335,4/1/2013 9:30,60.41246507625766,-102.21789090902796,-464.6926813665739,592.4011383557172,19240.668919783242,23.053502258449033,4429.03
2456383.9375,4/1/2013 10:30,48.95129126633173,-82.82558482263329,-376.53333242062365,478.51952691978596,15590.321546364092,18.67978266666691,4429.02
2456383.9791666665,4/1/2013 11:30,28.835678898919596,-48.789968696971954,-221.80404209048953,278.64485531874095,9183.563042579113,11.003426878758846,4429.02
