xlday,wl,bp,wl_std,bp_std,dbp,dwl,dt,modeled_y_bp,modWL
41724.704166666605,0.12544802799999999,-0.086181732999999996,-0.051407060517696404,-1.245270397981141,0.0,0.0059999999999999915,-0.6912684696800184,0.00088723041900584361,0.00096729610029625533
41724.705555555411,0.119448028,-0.086181732999999996,-0.35644416155293246,-1.245270397981141,-0.0003376130000000005,-0.0056623880000000043,-0.7062948998135994,-5.6715682216412284e-05,-0.00010121105935900944
41724.706944444217,0.125110416,-0.085844119999999996,-0.068571091476813797,-1.2393766296383604,-0.00011117699999999009,0.0061111780000000088,-0.7211919950516119,-0.00011671323766641337,-4.6165876919718619e-05
41724.708333333489,0.11899923799999999,-0.085732943000000006,-0.37926042831520002,-1.2374357935833351,0.00082516099999999093,-0.0068251620000000096,-0.7359553018996152,0.00095626165535980313,0.00054110198179188552
41724.709722222295,0.1258244,-0.086558103999999997,-0.032272489885890036,-1.251840771411491,0.00044981000000000881,0.011550190000000002,-0.7505803986758153,-0.00085598392394742697,-0.00079743138952253069
41724.711111111101,0.11427421,-0.087007914000000006,-0.61947856888691988,-1.2596931821251371,9.1797999999990165e-05,-0.0060917979999999955,-0.7650628970164135,-0.00093368975207461344,-0.00084534499164039571
41724.712499999907,0.120366008,-0.087099711999999996,-0.30977450188487815,-1.261295715636378,-0.00032741199999999915,0.012327412999999995,-0.7793984432169268,0.00037874529075181753,0.00048765657289263236
41724.713888888713,0.108038595,-0.086772299999999997,-0.93649422268222582,-1.255580027909168,-0.00011117800000000344,-0.011888822999999993,-0.793582719299792,-0.00023303943247584831,-0.0004159879069445076
41724.715277777985,0.11992741799999999,-0.086661121999999993,-0.33207220557538564,-1.2536391743969701,-0.0003161929999999924,-0.0056838069999999991,-0.807611443947799,0.0010411113776256039,0.00097731359758381191
41724.716666666791,0.12561122499999999,-0.086344929000000001,-0.043110203888088297,-1.2481193386868261,0.00037637199999999982,0.0056236289999999911,-0.8214803740467076,-0.001295805842344476,-0.0012815269096262132
41724.718055555597,0.119987596,-0.086721301000000001,-0.32901278513103549,-1.2546897295743484,1.1220000000006225e-05,-0.0060112200000000116,-0.8351853054105334,5.232059909285522e-05,-9.3441703741572926e-05
41724.719444444403,0.12599881600000001,-0.086732521000000007,-0.023405264716862533,-1.2548855990485868,0.00037739099999999082,-0.0063773919999999817,-0.848722074216326,-0.00091373982863894793,-0.00097404993929781688
