xl_time,date_time,V_ugal,vert_mm,areal_mm,WDD_tam,potential,dilation_ppb,wl_ft,dbp,dwl,resid,bp
41234.394583333284,2012-11-21 09:28:12,-4.542487603408625,7.685889024967393,34.940814645419145,-12.388525379984634,-1447.2767336923098,1.7328575218864928,21.030000000000001,-0.077433271073022031,0.193162902036492,0.069110899682517629,2.7290200000145286
41234.436249999795,2012-11-21 10:28:12,16.42845725278902,-27.79694967171902,-126.36769318845316,8.4488254286170275,5231.902444939623,-6.269903268312792,21.02,0.048761223811593805,0.0,0.032684267756418049,2.7442081176205515
41234.477916666772,2012-11-21 11:28:12,38.90542875609477,-65.82798545531234,-299.260557991881,30.782608838996257,12390.7463164505,-14.84738165388595,21.02,0.092862445830511536,-0.57948870610940728,-0.36675470173707891,2.7346438671168412
41234.519583333284,2012-11-21 12:28:12,58.18765970647916,-98.45352022336273,-447.5794784622378,49.942003584478741,18532.07549186521,-22.205709228320394,21.050000000000001,0.086848811778450441,0.0,0.18762859655702552,2.7164294002744591
41234.561249999795,2012-11-21 13:28:12,69.80920231715177,-118.1171703206208,-536.9723842235314,61.489511909747662,22233.499817810552,-26.640627452752945,21.050000000000001,0.079308260807011033,0.19316290203649195,0.3304099448911223,2.6993944752486194
41234.602916666772,2012-11-21 14:28:12,70.65667702620641,-119.55109752834124,-543.4911596855798,62.3315878359914,22503.417814827364,-26.964033833286326,21.039999999999999,-0.023215760358005488,0.19316290203642333,0.16998834616576061,2.6838385885403064
41234.644583333284,2012-11-21 15:28:12,59.86045040410856,-101.28388208375168,-460.44658450840313,51.604137877181728,19064.85400396518,-22.844065959359263,21.030000000000001,-0.064412767277560484,0.57948870610940739,0.3639299033667775,2.6883922344569062
41234.686249999795,2012-11-21 16:28:12,39.178398554283405,-66.28985035384751,-301.360241679548,31.053839700743946,12477.686328212443,-14.951550160018234,21.0,-0.031458604656902145,-0.19316290203649197,-0.3194214438971178,2.7010264506172748
41234.727916666772,2012-11-21 17:28:12,12.704501688966937,-21.49601685773206,-97.72302699153369,4.7485930828115865,4045.8344525534735,-4.848797744696276,21.010000000000002,-0.063642039656983507,0.57948870610940728,0.43395319540816851,2.7071968858917943
41234.769583333284,2012-11-21 18:28:12,-14.072685875000836,23.810984500501412,108.24709975050644,-21.858012139996191,-4482.61454514246,5.369693991283022,20.98,-0.091808881401445983,0.193162902036492,0.0084468660314552246,2.7196799279950512
41234.811249999795,2012-11-21 19:28:12,-35.62576155921433,60.27878855819065,274.03335791347666,-43.273785349831869,-11347.200539365447,13.594602796135767,20.969999999999999,-0.082751355241551888,0.0,-0.14781292028328047,2.7376877438690261
41234.852916666772,2012-11-21 20:28:12,-47.77502417077526,80.83534089695173,367.4854859216033,-55.345651869861655,-15216.702005670977,18.23090521952895,20.969999999999999,-0.090898366558550645,-0.193162902036492,-0.30859617633882669,2.7539189749412771
41234.894583333284,2012-11-21 21:28:12,-48.70219700011828,82.40411732420013,374.6172993249099,-56.266918204674155,-15512.003600291831,18.584725346151025,20.98,-0.076205708867667393,0.0,-0.081542869138111956,2.7717481982500112
41234.936249999795,2012-11-21 22:28:12,-39.307059607566366,66.50754485600228,302.3499025014005,-46.931631927110047,-12519.682248868616,14.9994297069119,20.98,-0.077521915055416502,-0.19316290203642339,-0.25701700557916068,2.7866955361642392
41234.977916666772,2012-11-21 23:28:12,-22.834602188313863,38.636146902627054,175.64376003251024,-30.564111232243626,-7273.256998598744,8.713344971246674,20.989999999999998,-0.19442535081686829,0.0,-0.24606220293578129,2.8019010408083016
41235.019583333284,2012-11-22 00:28:12,-3.920858213859968,6.634092097851066,30.159241381010876,-11.770856040248891,-1249.289751991196,1.4956363886076411,20.989999999999998,-0.18042382849662164,0.38632580407291539,0.10107015743203895,2.8400365225318378
41235.061249999795,2012-11-22 01:28:12,12.644444861834518,-21.394400706224005,-97.26106987723112,4.6889188438113383,4026.706544294299,-4.825879348569882,20.969999999999999,-0.057428636334804106,0.38632580407291539,0.32549767740346691,2.8754256813283376
41235.102916666772,2012-11-22 02:28:12,23.10030382241893,-39.08571406753283,-177.6875370020464,15.078169431276862,7356.864338477253,-8.815958893931409,20.949999999999999,-0.090925593731763565,-0.193162902036492,-0.18863308985858063,2.8866899979524407
41235.144583333284,2012-11-22 03:28:12,25.563560851042624,-43.25354495996412,-196.63491006621987,17.525734440347808,8141.403860660005,-9.755966933627658,20.960000000000001,-0.087230551137170265,0.193162902036492,0.11751955329206838,2.9045245617240418
41235.186249999795,2012-11-22 04:28:12,20.382660876290913,-34.48746220268423,-156.78342746042972,12.377839053732831,6491.303711371329,-7.778874176949405,20.949999999999999,-0.083192959933407029,0.0,-0.057169005899357972,2.9216343628618517
41235.227916666772,2012-11-22 05:28:12,9.959621282683974,-16.851679210301285,-76.60940690640514,2.0211987595905363,3171.5987810948395,-3.801318890509328,20.949999999999999,-0.12706991464343909,0.19316290203642339,0.044703773450587569,2.9379522123076045
41235.269583333284,2012-11-22 06:28:12,-1.890911984048116,3.199423077009412,14.544894981298109,-9.7538414515768341,-602.7583398457514,0.7209848788379162,20.940000000000001,-0.1537936018938042,0.19316290203649178,-0.046419597668667434,2.9628762892715215
41235.311249999795,2012-11-22 07:28:12,-10.899872031931503,18.4425834780281,83.84181566961713,-18.705410502264805,-3472.083436333552,4.158910672170304,20.93,-0.14029562483237212,0.0,-0.19092757384998493,2.9930420730521679
